Name,Number of Comments,% Positive,% Negative,% Neutral
kyliejenner,470,74.46808511,7.234042553,18.29787234
alexachung,542,80.07380074,3.6900369,16.23616236
bradleymartyn,1218,54.26929392,15.59934319,30.13136289
imjennim,345,80.32088,3.78801,15.89111
jenselter,508,70.2397734,2.083423,27.6768036
juliahengel,608,68.3874937,18.2348379,13.3776684
michelle_lewin,345,70.34873,10.32943289,19.32183711
kayla_itsines,467,81.28743,10.1293,8.58327
sommerray,234,70.938923,5.297439,23.763638
thebodycoach,344,68.9809,9.9379,21.0812
alexandradaddario,234,85.39742394,4.937242,9.66533406
aliaabhaat,508,84.328753,3.38742,12.283827
